# Cpu scheduler: rr
# Quantum: 1.0
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
1 90.2872 124.42911546071981 28.37126605212688 152.80038151284668 1110.751446358337 953.7521305162823 32.57020038133487
9 267.421 99.07572185620663 23.403675055131313 122.47939691133794 997.5252936886509 867.1301950229217 31.31937680952251
0 57.2259 180.08585315034713 38.77688148245216 218.8627346327993 1369.9905285637362 1148.3128313776106 41.591844035778195
4 117.562 155.03606510395196 35.9343110960908 190.97037620004272 1416.8940356485116 1221.1199057416093 40.73806480295025
6 181.002 155.5041482404341 29.40633904095739 184.91048728139148 1398.0862810496649 1203.666202853102 38.91592995612882
5 120.188 170.11947181122375 34.265905037522316 204.38537684874603 1472.1814928081628 1265.678361532632 36.38365946430713
3 112.231 184.8751377915034 40.950944335665554 225.82608212716892 1544.8872635089306 1316.8351241009755 43.17700161645189
8 259.121 168.88689805008468 33.60101756639777 202.48791561648247 1413.7038009724001 1207.4990257519185 37.31787717039697
2 98.5173 205.36430281377378 46.478987785987535 251.8432905997613 1585.1013304490937 1331.3805061385376 48.35652149678208
7 235.44 229.97358997166157 51.73824376147239 281.711833733134 1511.9240348811556 1226.3594076628626 55.59103724663146
