# Cpu scheduler: rr
# Quantum: 0.2
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 2.85959 64.36670101992786 18.49121037581935 82.8579113957472 142.07352531272943 55.31254617627704 22.394278116524188
3 95.4529 37.49134735018015 8.6828010328114 46.17414838299156 322.13928857835606 274.4441871330961 10.203754095081393
2 76.5136 59.63343296572567 14.86127707529812 74.4947100410238 826.7275583523862 749.5927815357747 17.501343850884737
10 265.413 29.44126851856709 7.4128677171655 36.85413623573258 738.0824740095773 701.2283377738423 7.4128677171654545
8 192.216 47.70711932890118 17.30156712988391 65.00868645878509 1278.0687367742107 1209.0706901231897 21.290927322115465
7 186.191 50.112265404313796 10.021239723730838 60.13350512804463 1308.2222616722086 1247.7673108485699 10.34268541932073
6 170.379 53.5881213005632 21.12920397398994 74.71732527455315 1431.1540060315624 1351.7360756277399 25.829809103254433
22 432.074 34.682521341368556 7.92214709091931 42.604668432287866 1332.182843997698 1285.6505900007567 11.849732655566072
5 125.938 69.23196858912708 18.08513245871291 87.31710104783996 1726.8224473842242 1635.2567193843208 22.333759410771023
26 500.21 38.669151213020086 12.538518584426491 51.207669797446584 1559.6482290044323 1507.019946100358 13.959131691046082
20 401.611 44.550164654850974 11.540374188590802 56.09053884344178 1684.6620100510672 1627.342006268288 12.769839127920363
28 546.16 38.31257901713253 8.30815390171484 46.62073291884736 1554.920294007984 1505.7904238612773 10.817291129566343
11 294.161 52.93900781124829 12.565915695484732 65.50492350673302 1830.8878880684283 1764.8482121084794 13.100668148694695
13 297.539 53.92292172461748 15.12570509631187 69.04862682092934 1883.8040355754795 1811.764335460376 18.116778390480874
14 312.698 52.7502163387835 16.20389727083966 68.95411360962315 1877.6737738215843 1805.1708383213243 19.7527191614721
25 471.864 43.56253118067981 15.51424378240481 59.07677496308462 1719.2496850220177 1659.0551369159116 16.63201692542077
21 418.285 50.191536551341414 10.72514330316335 60.91667985450477 1890.2848407981448 1827.4107080291437 12.68259621765776
9 201.542 68.4036559946835 19.891576156392702 88.2952321510762 2123.6830117249547 2031.5416984968504 23.73765723342086
4 99.4587 86.42922246269885 32.27894952679053 118.70817198948936 2229.8233984571893 2108.032901157813 35.361274836677964
12 296.536 64.22941024415194 17.71812968915328 81.94753993330521 2221.603333178278 2136.245154340772 21.12876859335819
29 547.884 52.089839471504106 16.24371931590141 68.33355878740551 2003.6860561834087 1935.1014603991498 16.494756312759932
17 361.411 61.15418411977589 19.06219874871895 80.21638286849483 2193.9125372708663 2108.673540590137 24.084812560959563
31 591.936 51.529025988653316 17.680193295702328 69.20921928435565 1990.0797726572137 1919.0527780972131 19.49796857135391
39 886.868 44.11185143701731 16.54209919357672 60.65395063059404 1734.9083649345262 1672.930730202018 17.865783295500933
33 604.196 52.96406349912288 15.31168249174953 68.2757459908724 2028.892835582581 1957.3516659347163 18.577106148750318
23 444.868 60.99188140034675 14.340278333239262 75.33215973358601 2220.3520753681787 2144.9491805621647 14.411013405676158
27 533.633 57.93618129566312 16.082162076793608 74.01834337245674 2154.370511937357 2074.930144218208 21.504186423495867
34 677.097 53.73051612265408 14.579961363319319 68.3104774859734 2025.6961136023344 1955.0193972306279 16.946200249064532
46 995.443 46.64153113588691 12.87695062607527 59.51848176196217 1745.8333196717697 1685.9492027068077 13.242585829089649
47 1050.86 47.64388585649429 14.72614637482912 62.37003223132342 1747.2750937294943 1682.9245282652773 16.706679607740398
