# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 2.85959 64.36670101992786 18.49121037581935 82.8579113957472 98.59109512623401 15.733183730486793 18.491210375819346
6 170.379 53.5881213005632 21.12920397398994 74.71732527455315 117.9008335864136 43.18350831186041 21.129203973989974
8 192.216 47.70711932890118 17.30156712988391 65.00868645878509 99.93097552797587 34.92228906919081 17.301567129883892
3 95.4529 37.49134735018015 8.6828010328114 46.17414838299156 210.72679499481114 164.55264661181957 8.682801032811426
17 361.411 61.15418411977589 19.06219874871895 80.21638286849483 360.45153295232745 279.94071667187677 19.356632160674792
20 401.611 44.550164654850974 11.540374188590802 56.09053884344178 364.46280375777576 308.372264914334 11.540374188590818
31 591.936 51.529025988653316 17.680193295702328 69.20921928435565 258.261958457742 189.0527391733865 17.680193295702225
34 677.097 53.73051612265408 14.579961363319319 68.3104774859734 196.3670980116019 128.05662052562855 14.579961363319285
39 886.868 44.11185143701731 16.54209919357672 60.65395063059404 101.37918352732447 40.725232896730404 16.542099193576746
25 471.864 43.56253118067981 15.51424378240481 59.07677496308462 691.1209084555098 631.613022621401 15.945354653429149
15 322.218 74.96296581812203 20.63197052413599 95.59493634225801 896.5474475900271 800.952511247769 20.631970524136023
48 1159.31 53.489393031224594 19.01988806203008 72.50928109325467 133.56800351855554 60.90057625542613 19.178034231904803
40 891.761 54.00033477693796 11.204618188831962 65.20495296576992 465.3856299141685 400.1806769483985 11.204618188832
21 418.285 50.191536551341414 10.72514330316335 60.91667985450477 1031.1900462802985 970.2733664257937 10.72514330316335
19 396.244 82.22993090189993 25.13801403073594 107.36794493263588 1056.817657025937 949.2762270441615 25.311499079875773
13 297.539 53.92292172461748 15.12570509631187 69.04862682092934 1205.6110525264928 1136.5624257055636 15.12570509631172
38 839.936 78.07939712516963 23.31235907636582 101.39175620153546 764.9215434475133 663.5297872459774 23.312359076366192
37 813.434 81.36052517779173 26.27217221697791 107.63269739476962 834.5541296264867 726.9214322317173 26.27217221697765
2 76.5136 59.63343296572567 14.86127707529812 74.4947100410238 1653.5245257510671 1579.0298157100433 14.861277075298133
45 985.371 84.5819248557091 19.74472754858434 104.32665240429341 752.1486648514757 647.8220124471821 19.74472754858448
14 312.698 52.7502163387835 16.20389727083966 68.95411360962315 1462.0395332000594 1393.085419590436 16.20389727083966
23 444.868 60.99188140034675 14.340278333239262 75.33215973358601 1461.783690432329 1386.2175645143352 14.574244517647003
9 201.542 68.4036559946835 19.891576156392702 88.2952321510762 1750.7853288919518 1662.2910505948441 20.090622302424208
27 533.633 57.93618129566312 16.082162076793608 74.01834337245674 1442.8297586542556 1368.8114152817989 16.082162076793566
49 1167.4 48.69280237704513 15.556153370905658 64.2489557479508 841.8991692810246 777.2603774700244 15.945989433954992
22 432.074 34.682521341368556 7.92214709091931 42.604668432287866 1599.6978998971322 1557.0932314648444 7.9221470909193386
10 265.413 29.44126851856709 7.4128677171655 36.85413623573258 1816.123011017386 1779.2688747816535 7.412867717165398
46 995.443 46.64153113588691 12.87695062607527 59.51848176196217 1115.8284430182168 1056.0322547438182 13.154657138511652
41 900.175 64.42130878381431 13.81054275520146 78.23185153901578 1314.0939936305324 1235.8621420915167 13.810542755201368
11 294.161 52.93900781124829 12.565915695484732 65.50492350673302 2001.175342688177 1935.6704191814438 12.565915695484705
30 574.57 102.79397782124579 34.32887370185926 137.12285152310503 1724.2846392111965 1587.1617876880914 34.32887370185949
35 710.641 59.60894946567714 14.13391025597228 73.74285972164942 1647.2303335166612 1573.4874737950117 14.133910255972637
16 360.746 85.35357949510215 26.50974395126104 111.8633234463632 2064.4427343539783 1952.5794109076146 26.509743951261385
33 604.196 52.96406349912288 15.31168249174953 68.2757459908724 1847.288749203075 1779.013003212202 15.311682491750162
32 602.29 103.14159075543283 31.08612550953403 134.22771626496683 1932.8448224240283 1798.6171061590614 31.086125509533986
7 186.191 50.112265404313796 10.021239723730838 60.13350512804463 2358.647700051878 2298.514194923833 10.021239723731014
36 718.539 75.35901737585664 17.99059856329113 93.34961593914777 1972.715186179016 1879.365570239868 17.990598563291314
18 389.593 76.79315725341439 20.96983383717016 97.76299109058456 2307.397874681149 2209.6348835905646 20.969833837169972
42 913.241 64.43070460483432 16.90329822264612 81.33400282748045 1846.639427028511 1765.3054242010303 16.9032982226463
28 546.16 38.31257901713253 8.30815390171484 46.62073291884736 2278.762428974409 2232.1416960555616 8.308153901715059
1 54.6768 136.1847102120519 41.1265599552542 177.3112701673061 2790.335737339229 2613.024467171923 41.12655995525431
26 500.21 38.669151213020086 12.538518584426491 51.207669797446584 2358.335780075241 2307.1281102777943 12.53851858442664
29 547.884 52.089839471504106 16.24371931590141 68.33355878740551 2343.6137379157135 2275.1532934181173 16.370605026092107
4 99.4587 86.42922246269885 32.27894952679053 118.70817198948936 2810.388126940302 2691.6799549508128 32.2789495267907
12 296.536 64.22941024415194 17.71812968915328 81.94753993330521 2698.276048382584 2616.328508449279 17.718129689153272
5 125.938 69.23196858912708 18.08513245871291 87.31710104783996 2918.6521939137765 2831.335092865937 18.08513245871245
47 1050.86 47.64388585649429 14.72614637482912 62.37003223132342 2041.620748049442 1979.250715818119 14.726146374828659
43 934.009 117.93634369038043 28.9135637066327 146.8499073970131 2225.377728953097 2078.527821556084 28.913563706632885
44 969.8 70.65813249535859 19.79436355894432 90.45249605430293 2195.763784598831 2105.311288544529 19.794363558943814
