# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 12.5866 18.09116093860939 4.596946118446065 22.68810705705545 22.68810705705545 0.0 4.596946118446061
1 49.8199 15.38070094189608 3.329795800056309 18.710496741952387 18.710496741952362 0.0 3.3297958000562957
2 129.331 10.94705090369097 2.3263254338409762 13.273376337531944 13.273376337531971 0.0 2.326325433840992
3 154.761 13.51695972913877 3.473780318861828 16.9907400480006 25.739288073172787 8.748548025172198 3.4737803188618273
4 163.668 14.159536501625539 3.6017949588596823 17.76133146048522 31.954421869741736 14.193090409256541 3.6017949588596423
5 166.038 20.519926224136718 5.156795763783155 25.676721987919876 40.63280570497923 14.956083717059329 5.15679576378318
6 219.332 15.2738844808191 3.6505465856753294 18.924431066494428 18.924431066494435 0.0 3.650546585675329
7 283.295 8.02092376537622 1.663193929241971 9.684117694618193 9.68411769461818 0.0 1.6631939292419702
8 322.967 14.669577358989049 3.61877498757094 18.28835234655999 18.288352346560032 0.0 3.618774987570987
9 371.169 16.24510007398201 3.3705305472016347 19.615630621183644 23.640647927578527 4.025017306394943 3.370530547201554
10 381.769 12.54065282922239 3.295972530124709 15.8366253593471 21.65886207208962 5.8222367127424945 3.295972530124743
11 428.807 16.6363917007111 3.749964573979378 20.386356274690478 20.386356274690456 0.0 3.749964573979355
12 447.907 11.08300433494151 2.576552937459201 13.659557272400711 16.23233975637703 2.5727824839763684 2.576552937459155
13 460.809 12.64468247024342 2.8809061971958716 15.525588667439289 19.83456902611249 4.308980358673125 2.880906197195941
14 470.49 18.436161851277568 4.810345111880451 23.24650696315802 32.43714668803477 9.190639724876746 4.810345111880451
15 492.624 19.037097995635108 4.020731616811827 23.057829612446938 28.736568974144802 5.678739361697808 4.0207316168118155
16 514.159 7.84499827050603 1.536718465294688 9.381716735800719 12.910474012056397 3.52875727625576 1.536718465294598
17 543.38 12.35674921330063 2.763690861454233 15.120440074754864 15.120440074754697 0.0 2.7636908614540516
18 632.745 16.203887453069903 4.109593459358441 20.31348091242834 20.313480912428417 0.0 4.109593459358507
19 661.644 20.94384018937126 4.604687863262369 25.54852805263363 35.811588327586605 10.263060274952977 4.60468786326237
20 673.002 22.98591520474294 5.450695999572055 28.436611204314993 56.37149570366182 27.934884499346822 5.450695999572076
21 687.451 23.67523418739438 5.904763101506976 29.579997288901357 61.638236598327694 32.0582393094262 5.904763101507115
22 710.471 23.34890566160902 6.06993434377946 29.41884000538848 63.74247465864937 34.32363465326091 6.069934343779437
24 757.987 16.11790614761413 4.135243152454496 20.253149300068625 42.407233497889706 22.154084197821135 4.13524315245445
23 734.956 28.420464976923558 7.107546033663677 35.528011010587235 72.13666944821546 36.60865843762838 7.107546033663539
25 783.121 15.503489323891703 3.7334198302123696 19.236909154104072 38.33487974913044 19.09797059502614 3.733419830212597
26 808.489 22.7869555281941 5.249906875751912 28.03686240394601 37.72506507963874 9.688202675692537 5.249906875752117
27 833.984 11.1096264491789 2.5172463634517057 13.626872812630605 17.855412351107248 4.228539538476639 2.5172463634517044
28 864.153 13.45939535065555 3.157517654635013 16.616913005290563 16.616913005290485 0.0 3.157517654634944
29 887.361 11.18604362034239 2.912116267019883 14.098159887362275 27.827917789574713 13.729757902212327 2.9121162670199965
30 888.193 20.804567322833478 5.196358629548923 26.000925952382403 83.90594676386752 57.905020811484974 5.196358629549081
34 919.547 10.664425948867581 2.1083478319924316 12.772773780860014 60.751199053354526 47.97842527249452 2.1083478319924325
31 899.696 17.569548456231118 4.256403575185687 21.825952031416804 84.43691051421683 62.610958482800015 4.256403575185686
32 907.963 22.13790310942567 5.4895238946191975 27.627427004044872 97.16915943864922 69.54173243460434 5.489523894619197
35 920.6 18.560614042449743 4.507048868807033 23.067662911256768 86.3907273051459 63.32306439388924 4.507048868806919
33 916.171 19.827635553665463 5.277209085598587 25.104844639264048 103.69275819841766 78.58791355915366 5.2772090855985425
36 996.315 12.71888238401152 3.2085033999755974 15.927385783987118 62.385648683555246 46.458262899568126 3.208503399975598
39 1010.2 10.79806679091415 2.291419946216047 13.089486737130198 52.84674196146784 39.757255224337314 2.291419946216365
40 1019.14 8.912978115957209 1.9776326485443851 10.890610764501595 45.032179098905885 34.141568334404155 1.9776326485446134
37 1002.44 15.79154774686322 3.701519686868415 19.493067433731635 67.58159704567288 48.08852961194111 3.7015196868685507
38 1006.94 18.74816557066514 4.183333188295364 22.931498758960505 69.07340376205161 46.1419050030911 4.183333188295364
41 1092.43 18.03949479642325 4.90741336978972 22.94690816621297 22.946908166213007 0.0 4.907413369789765
42 1155.36 18.8610798062291 4.311282998323441 23.17236280455254 23.172362804552677 0.0 4.311282998323577
45 1219.03 8.19081578589977 1.713650377979502 9.904466163879274 21.060695558237057 11.156229394357524 1.713650377979775
43 1196.27 23.88754729926586 6.109324796171858 29.996872095437713 52.414398412825676 22.41752631738791 6.109324796171904
44 1201.82 28.805012259399525 7.403460592450574 36.2084728518501 59.12966736722774 22.921194515377465 7.403460592450756
46 1270.29 10.49364963639529 2.3011751067359 12.794824743131187 12.79482474313113 0.0 2.3011751067358546
47 1310.21 18.234503850108 4.962317005265504 23.1968208553735 36.03097445070739 12.8341535953341 4.962317005265277
48 1312.47 22.052606102544797 5.17734659295529 27.22995269550009 39.34232818005603 12.112375484555969 5.177346592955246
49 1422.97 27.37056038272567 7.259833201020956 34.63039358374663 34.63039358374658 0.0 7.259833201020911
